avg_commission_rate;block_time;epoch;stake_account_count;staker_rewards_sol;total_inflationary_sol;validator_count;voting_rewards_sol
0.0443677759749289;2024-08-03 01:43:36.000 UTC;651;1265539;118451.151817614;162911.053176236;4350;44459.901358622
0.04376202575200929;2024-08-05 07:13:07.000 UTC;652;1271888;118605.631049186;162809.433542645;4350;44203.802493459
0.04380844216385642;2024-08-07 10:25:07.000 UTC;653;1275902;118487.177978558;162706.89414490398;4354;44219.716166346
0.04371746709083366;2024-08-09 13:00:08.000 UTC;654;1268830;118521.921372846;162604.385605955;4358;44082.464233109
0.0438905157444536;2024-08-11 15:17:17.000 UTC;655;1258828;118258.170912303;162502.850655519;4362;44244.679743216
0.043799549842194266;2024-08-13 17:49:42.000 UTC;656;1269806;118155.881984339;162401.159581378;4377;44245.277597039
0.043530456715497386;2024-08-15 21:07:23.000 UTC;657;1270576;118282.876858664;162299.669476541;4381;44016.792617877
0.043726033116766407;2024-08-18 00:58:58.000 UTC;658;1245381;118314.609701575;162198.729434153;4378;43884.119732578
0.04384287450981244;2024-08-20 05:15:09.000 UTC;659;1274963;117982.636202091;162097.71137011301;4384;44115.075168022
0.043611467053110926;2024-08-22 09:29:30.000 UTC;660;1196843;118037.475424862;161997.199607007;4402;43959.724182145
0.04347706771735222;2024-08-24 13:36:00.000 UTC;661;1139723;117258.579188459;161896.645065546;4413;44638.065877087
0.041331938761244434;2024-08-26 17:10:57.000 UTC;662;1131457;117445.32089852;161796.209133133;4405;44350.888234613
0.04052745762574293;2024-08-28 20:55:33.000 UTC;663;1093943;117513.646341438;161695.617135999;4402;44181.970794561
0.04045969862518646;2024-08-31 00:52:01.000 UTC;664;1092670;117591.576030652;161595.132715885;4398;44003.556685233
0.0408897531858011;2024-09-02 03:54:20.000 UTC;665;1091676;117536.001234087;161494.951850671;4386;43958.950616584
0.040889217196276875;2024-09-04 08:04:59.000 UTC;666;1095496;117630.080648465;161394.530279736;4388;43764.449631271
0.04077515358043352;2024-09-06 11:41:42.000 UTC;667;1102207;117657.717367032;161294.287722215;4390;43636.570355183
0.04077596879512185;2024-09-08 14:26:20.000 UTC;668;1134975;117612.431159308;161194.286964676;4391;43581.855805368
0.040680736890613634;2024-09-10 18:49:50.000 UTC;669;1134162;117550.30029095;161094.004309905;4393;43543.704018955
0.04071035958683886;2024-09-12 23:34:48.000 UTC;670;1139195;117609.770460256;160993.73984697298;4392;43383.969386717
0.04095777909137282;2024-09-15 04:19:47.000 UTC;671;1140528;117303.225495154;160893.543591297;4392;43590.318096143
0.04080707160457972;2024-09-17 07:44:20.000 UTC;672;1143665;117427.498256332;160793.470442737;4468;43365.972186405
0.040773991646154376;2024-09-19 12:14:43.000 UTC;673;1149406;117345.952698893;160693.21127841598;4476;43347.258579523
0.04081011563243054;2024-09-21 16:41:08.000 UTC;674;1153116;117306.920049822;160593.03398188401;4475;43286.113932062
0.04084135042077685;2024-09-23 21:20:17.000 UTC;675;1160339;117307.312384689;160492.818422933;5382;43185.506038244
0.040994626515351545;2024-09-26 02:19:19.000 UTC;676;1168374;117219.049439007;160392.182152109;5385;43173.132713102
0.04104123424523618;2024-09-28 08:34:41.000 UTC;677;1179380;117219.748988965;160290.230041654;5392;43070.481052689
0.040693250069906164;2024-09-30 13:40:30.000 UTC;678;1186425;117047.078231617;160188.513335376;5402;43141.435103759
0.04077085019493677;2024-10-02 20:01:57.000 UTC;679;1190231;117078.72944656;160086.64842966502;5406;43007.918983105
0.041438867724071723;2024-10-05 02:19:11.000 UTC;680;1192840;116983.814820826;159984.991469594;5407;43001.176648768
0.04166110760620032;2024-10-07 07:00:26.000 UTC;681;1191177;116704.802868419;159883.633449847;5409;43178.830581428
0.04153402525483974;2024-10-09 12:47:27.000 UTC;682;1201003;116756.295797471;159782.19137117;5408;43025.895573699
0.04152382832587048;2024-10-11 19:15:59.000 UTC;683;1196885;116693.272644338;159680.662151001;5410;42987.389506663
0.041452907006072286;2024-10-14 01:44:53.000 UTC;684;1172933;116590.238862653;159578.900740981;5415;42988.661878328
0.041452939099358696;2024-10-16 09:10:45.000 UTC;685;1168109;116644.945759499;159475.97762600798;5415;42831.031866509
0.041447520066708245;2024-10-18 17:35:52.000 UTC;686;1168507;116633.653961226;159372.60068720998;5412;42738.946725984
0.04140180350689618;2024-10-21 01:36:10.000 UTC;687;1166822;116572.485686564;159268.589361704;5413;42696.10367514
0.04195063889325373;2024-10-23 10:14:59.000 UTC;688;1181064;116415.338828375;159162.793890125;5414;42747.45506175
0.04187361301208961;2024-10-25 16:56:51.000 UTC;689;1180928;116401.205110364;159056.336311005;5411;42655.131200641
0.04204282529957835;2024-10-27 23:53:53.000 UTC;690;1186121;116345.444756327;158952.809386655;5415;42607.364630328
0.042135374346013055;2024-10-30 08:52:57.000 UTC;691;1190756;116229.716138808;158848.097374021;5407;42618.381235213
0.04193398728769737;2024-11-01 17:12:51.000 UTC;692;1199799;116045.805589245;158744.44446304502;5407;42698.6388738
0.04236840805869166;2024-11-04 01:40:44.000 UTC;693;1202980;116139.519301374;158641.253159074;5408;42501.7338577
0.04216594475960637;2024-11-06 10:25:43.000 UTC;694;1211466;116198.529809712;158537.72911890398;5411;42339.199309192
0.04212087341747541;2024-11-08 19:31:46.000 UTC;695;1211012;116283.804234691;158433.15227042598;5391;42149.348035735
0.04194201532266186;2024-11-11 01:26:38.000 UTC;696;1210909;116173.113287831;158329.14747882;5037;42156.034190989
0.042088444842048114;2024-11-13 07:04:24.000 UTC;697;1201267;115857.652580774;158223.000948501;5039;42365.348367727
0.041585433363114446;2024-11-15 11:18:25.000 UTC;698;1194743;115888.705205516;158113.465375831;5040;42224.760170315
0.041542376005873904;2024-11-17 16:08:31.000 UTC;699;1191522;115879.156470949;158003.454091401;5028;42124.297620452
0.04174975250300668;2024-11-19 20:41:20.000 UTC;700;1196874;115319.575113161;157891.333095293;5039;42571.757982132
0.041701854950322303;2024-11-22 00:34:35.000 UTC;701;1189391;114722.822116294;157777.293741615;5040;43054.471625321
0.04161882298021889;2024-11-24 04:13:50.000 UTC;702;1204960;114159.593299405;157668.247822468;5043;43508.654523063
0.04155465685788735;2024-11-26 07:57:15.000 UTC;703;1206094;114308.926052264;157561.795390944;5043;43252.86933868
0.041371064123767266;2024-11-28 12:05:57.000 UTC;704;1201770;114220.745964288;157455.305558601;5047;43234.559594313
0.04132216549170256;2024-11-30 15:04:55.000 UTC;705;1218868;114233.087185584;157350.894274954;5048;43117.80708937
0.04112669623929343;2024-12-02 17:43:22.000 UTC;706;1228974;113979.0832883;157247.196481739;5047;43268.113193439
0.04103947203487907;2024-12-04 20:48:17.000 UTC;707;1241067;114078.768282761;157143.440171397;1424;43064.671888636
0.041226326713454206;2024-12-06 23:02:06.000 UTC;708;1238527;114170.270102999;157040.1682499;1421;42869.898146901
0.04113835211437486;2024-12-09 00:39:13.000 UTC;709;1250137;113656.322757797;156938.212757527;1412;43281.88999973
0.041006978254139945;2024-12-11 02:47:17.000 UTC;710;1241388;113818.1791881;156834.72575555398;1418;43016.546567454
0.041214230094495076;2024-12-13 04:55:54.000 UTC;711;1255099;113475.537018687;156730.865182737;1422;43255.32816405
0.040919126442657126;2024-12-15 06:58:41.000 UTC;712;1250235;113934.256802744;156627.752055471;1422;42693.495252727
0.04072496973283112;2024-12-17 08:40:56.000 UTC;713;1255460;113842.073091934;156525.53782936098;1430;42683.464737427
0.04056114616524497;2024-12-19 10:42:38.000 UTC;714;1246418;113794.28218251;156421.290998135;1429;42627.008815625
0.04058898577337746;2024-12-21 12:30:00.000 UTC;715;1260804;113602.211388814;156317.669463533;1430;42715.458074719
0.040555189110998986;2024-12-23 13:51:50.000 UTC;716;1249493;113489.775017804;156215.308553372;1432;42725.533535568
0.04058965747449005;2024-12-25 15:45:46.000 UTC;717;1245120;113602.557991079;156113.62986599898;1437;42511.07187492
0.040628726504759294;2024-12-27 17:04:24.000 UTC;718;1246400;113302.421441978;156011.390257065;1426;42708.968815087
0.04077095647005081;2024-12-29 18:09:27.000 UTC;719;1236048;111009.068378932;155909.378305718;1428;44900.309926786
0.040765548900716986;2024-12-31 19:17:10.000 UTC;720;1230284;111006.307927998;155807.181195529;1425;44800.873267531
0.040174571653755174;2025-01-02 20:25:18.000 UTC;721;1250793;112576.994664908;155704.710686573;1420;43127.716021665
0.040089736667827516;2025-01-04 21:52:36.000 UTC;722;1244067;112440.372416033;155600.82489942;1415;43160.452483387
0.04015302133827939;2025-01-06 23:06:47.000 UTC;723;1258274;112256.05285948;155497.063278363;1409;43241.010418883
0.0401340149341034;2025-01-09 00:10:33.000 UTC;724;1232565;112283.008161833;155392.394328627;1415;43109.386166794
0.040003885681410646;2025-01-11 01:07:35.000 UTC;725;1210801;112337.09445247;155288.492591396;1417;42951.398138926
0.04000403553066209;2025-01-13 01:55:33.000 UTC;726;1197029;112151.49928651;155184.88130690702;1422;43033.382020397
0.03992291944134862;2025-01-15 02:39:59.000 UTC;727;1216599;112107.889496401;155081.90637901;1419;42974.016882609
0.03986489217809123;2025-01-17 03:37:34.000 UTC;728;1207107;111887.99891621;154978.769916457;1419;43090.771000247
0.039676042870599185;2025-01-19 04:13:20.000 UTC;729;1222399;111895.579671719;154871.764380434;1415;42976.184708715
0.039656667088667344;2025-01-21 05:06:21.000 UTC;730;1203742;111654.160248178;154744.941329794;1413;43090.781081616
0.03920502547540179;2025-01-23 05:59:29.000 UTC;731;1195780;111299.503321983;154636.15832116;1413;43336.654999177
0.039180309868436305;2025-01-25 06:48:42.000 UTC;732;1194410;111772.486001023;154525.51867144002;1415;42753.032670417
0.03909464543822009;2025-01-27 07:18:34.000 UTC;733;1215063;111761.94063894;154418.633114997;1413;42656.692476057
0.039174586425043276;2025-01-29 07:41:46.000 UTC;734;1207725;111683.626226057;154312.89901465;1415;42629.272788593
0.0379213897284383;2025-01-31 08:09:51.000 UTC;735;1207002;111941.608424311;154205.56246146798;1416;42263.954037157
0.03783976895147743;2025-02-02 08:24:27.000 UTC;736;1210636;111743.296152901;154101.86349713302;1415;42358.567344232
0.0381221754418551;2025-02-04 08:29:54.000 UTC;737;1234266;111740.5419428;153999.778479528;1414;42259.236536728
0.03799437526073233;2025-02-06 08:17:21.000 UTC;738;1229072;111452.491278558;153896.910428599;1418;42444.419150041
0.037760470766996755;2025-02-08 07:51:02.000 UTC;739;1252554;111358.26916349;153795.145269489;1427;42436.876105999
0.038096721972060266;2025-02-10 07:27:43.000 UTC;740;1252063;111123.41164418;153692.256614945;1426;42568.844970765
0.038400318420798676;2025-02-12 06:59:08.000 UTC;741;1270157;110631.840007834;153588.140529702;1425;42956.300521868
0.03784696552538172;2025-02-14 06:33:12.000 UTC;742;1260614;110508.546170183;153490.680549498;1429;42982.134379315
0.03787435045011891;2025-02-16 06:05:38.000 UTC;743;1272110;110842.604400274;153393.267389335;1395;42550.662989061
0.0376683619543326;2025-02-18 05:42:44.000 UTC;744;1281286;110870.4483847;153295.890803227;1366;42425.442418527
0.03762407433287068;2025-02-20 05:14:55.000 UTC;745;1286017;110776.055846075;153198.556327285;1331;42422.50048121
0.03768710854522777;2025-02-22 04:45:22.000 UTC;746;1248754;110104.218260618;153101.250032231;1339;42997.031771613
0.03765740036079197;2025-02-24 04:16:02.000 UTC;747;1260436;110209.517029629;153003.973800407;1332;42794.456770778
0.037618966143526285;2025-02-26 03:45:53.000 UTC;748;1255798;110015.139805624;152906.717040944;1338;42891.57723532
0.03742088472524858;2025-02-28 03:15:43.000 UTC;749;1252486;109757.638650069;152809.48772544198;1341;43051.849075373
0.03720856380576943;2025-03-02 02:44:20.000 UTC;750;1234076;109296.342049794;152712.29723340698;1332;43415.955183613
0.0368160474661916;2025-03-04 02:15:06.000 UTC;751;1261657;108762.401374495;152615.123070904;1335;43852.721696409
0.03668261111857174;2025-03-06 01:52:42.000 UTC;752;1251862;109204.936887555;152517.963790292;1334;43313.026902737
0.03665786255900671;2025-03-08 01:31:54.000 UTC;753;1269168;109259.05845912;152420.83241276199;1345;43161.773953642
0.03639881247418314;2025-03-10 01:10:44.000 UTC;754;1263334;109385.67068932;152323.741094369;1354;42938.070405049
0.03645922310780543;2025-03-12 00:49:08.000 UTC;755;1276512;109299.218099722;152226.676556563;1339;42927.458456841
0.03619891341467751;2025-03-14 00:21:40.000 UTC;756;1252030;108999.572966344;152129.637225614;1371;43130.06425927
0.035866419770530095;2025-03-16 00:08:31.000 UTC;757;1258451;108824.412667451;152032.627089401;1343;43208.21442195
