program_id;day;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;2026-02-28;13428;13428;0.06714;0;0.06714;184418249
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;2026-02-28;1475;1312;0.007375;0.053486;0.060861;141299850
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-02-28;251;212;0.001255;0.055153;0.056408;43593781
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-02-28;626;616;0.00313;0.050793;0.053923;44874233
99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;2026-02-28;6439;6261;0.032195;0.017855;0.05005;144320991
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;2026-02-28;1789;1667;0.008945;0.036474;0.045419;82172986
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;2026-02-28;8363;8352;0.041815;0;0.041815;262447704
G77G9wS9JzkzWNGwQjUhRswbA5N8hYKpCK4TZRj9G1Pw;2026-02-28;2751;2751;0.013755;0.026635;0.04039;32025993
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2026-02-28;3452;3449;0.01726;0.022593;0.039853;476830399
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;2026-02-28;6961;6730;0.034805;0.000906;0.035711;1166730982
2qGyiNeWyZxNdkvWHc2jT5qkCnYa1j1gDLSSUmyoWMh8;2026-02-28;6789;6774;0.033945;0;0.033945;2413207647
MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;2026-02-28;287;267;0.001435;0.027609;0.029044;91856381
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;2026-02-28;1870;1825;0.00935;0.015442;0.024792;194835437
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2026-02-28;869;869;0.004345;0.016957;0.021302;79466388
