market_condition;program_id;tx_count;success_count;total_fees_sol;total_cu;avg_fee_per_cu_lamports;median_fee_per_cu_lamports;days_observed
normal;D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;948903;948903;9.5069;3131821740;1.5206;1.5601;23
normal;FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;1350926;1287607;6.7546;119232665954;0.0;0.0;23
normal;EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;408647;277936;6.0073;1304472268;3.0388;0.0;23
normal;HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;47348;46894;5.5687;10595906989;0.5032;0.455;23
normal;pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;782962;782798;4.4242;60936244168;0.0084;0.0084;23
normal;LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;299540;295592;3.4516;20923636452;0.0934;0.0853;23
normal;cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;116019;75658;2.7518;6736885761;0.3224;0.2796;23
normal;dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;315339;294926;2.6145;26764096356;0.0388;0.0384;23
normal;CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;101041;81565;1.6525;3241508109;0.3539;0.176;23
normal;7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;156929;156929;1.5945;394794746;2.0513;2.05;3
normal;ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;18118;17764;1.5643;1340957236;1.099;1.101;23
normal;6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;251102;251101;1.2555;3509012347;0.0;0.0;23
normal;6sbWW8qnrXoNXVMcTGLBQJefuaNcJsuqxztXUegHi4Wq;118644;118358;1.1731;1091960971;0.531;0.5136;10
normal;RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;6847;5776;1.1691;1148313870;0.9883;1.0104;23
normal;MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;31275;5381;1.0602;10299533179;0.0878;0.0779;23
normal;G77G9wS9JzkzWNGwQjUhRswbA5N8hYKpCK4TZRj9G1Pw;73594;73594;1.0307;790782972;0.8381;0.8352;21
normal;FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;52402;50335;0.9801;5516457279;0.1302;0.0833;23
normal;25uXrrL4p6xd9Uk6jQPiFQoipg4nH48Jk7RNUGEcqbg8;193342;193342;0.9667;2537833868;0.0;0.0;4
normal;FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;179617;179418;0.8981;5528567897;0.0;0.0;23
normal;EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;89999;89999;0.7643;531677999;0.5912;0.0113;23
normal;2qGyiNeWyZxNdkvWHc2jT5qkCnYa1j1gDLSSUmyoWMh8;152290;152270;0.7614;19698155172;0.0;0.0;8
normal;APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;62872;62682;0.7401;8796180726;0.0484;0.0485;23
normal;dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;143958;138304;0.7255;25150207984;0.0002;0.0001;23
normal;whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;53576;46892;0.7247;2075495297;0.2201;0.2137;23
normal;CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;37141;34499;0.7183;3129461069;0.1702;0.1536;23
normal;FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;22509;22497;0.537;2041527692;0.2079;0.1838;23
normal;99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;62507;59277;0.4955;1296557219;0.1411;0.1396;23
normal;wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;89792;89781;0.4879;4792320376;0.0081;0.0069;23
normal;Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB;9646;8186;0.3652;877482413;0.3612;0.4611;23
normal;MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;58216;48080;0.2946;1925646776;0.0018;0.0011;23
normal;zapvX9M3uf5pvy4wRPAbQgdQsM1xmuiFnkfHKPvwMiz;23263;23253;0.2732;9533486276;0.0165;0.016;23
normal;strmRqUCoQUgGUan5YhzUZa6KqdzwX5L6FpUxfmKg5m;50626;50597;0.2539;1264320354;0.0006;0.0049;21
normal;KvauGMspG5k6rtzrqqn7WNn3oZdyKqLKwK2XWQ8FLjd;27064;27061;0.2531;5676900156;0.0207;0.0107;23
normal;HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ;33002;32992;0.165;5862022081;0.0;0.0;17
normal;jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9;25285;25115;0.1342;2041948150;0.0038;0.0;23
normal;FW6zUqn4iKRaeopwwhwsquTY6ABWLLgjxtrC3VPnaWBf;18;0;0.1305;1990823;65.5126;65.5126;1
normal;PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;8601;8553;0.113;1291853358;0.0542;0.0;23
normal;SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy;18321;18269;0.0919;1047946287;0.0003;0.0001;23
normal;DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH;7574;6506;0.0752;1572718501;0.0238;0.023;23
normal;SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF;173;64;0.0734;23910674;3.0334;0.0;11
normal;So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo;588;132;0.0481;110314826;0.4095;0.4214;8
